make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days,trips/day,rate/day,price/rate/day
Dodge,Grand Caravan,2010,55,5,6,19,11/5/13,Morristown,NJ,22.98930168,12505,558,0.034050179,1.872759857,6677.311005
Honda,CR-V,2015,69,5,1,1,4/28/15,Fort Lee,NJ,10.62042046,25567.3,19,0.052631579,3.631578947,7040.271014
Toyota,Sienna,2013,82,5,1,5,1/13/15,Cliffside Park,NJ,7.333097458,24886.58333,124,0.040322581,3.306451613,7526.673984
Mercedes-Benz,M-Class,2011,150,4,2,3,2/6/15,hoboken,NJ,2.660639763,33993.5,100,0.03,4.5,7554.111111
Honda,Accord,2007,65,4.8333,6,10,1/20/14,Hoboken,NJ,2.664180756,11033.15152,482,0.020746888,1.348547718,8181.506201
Dodge,Challenger,2012,75,5,18,28,6/16/13,East Orange,NJ,7.628548622,24976.66667,700,0.04,3,8325.555556
Volvo,S80,2005,33,5,1,1,4/9/15,Hackensack,NJ,10.40414047,7257.5,38,0.026315789,0.868421053,8357.121212
Jeep,Wrangler,2012,59,5,5,9,11/9/14,Bayonne,NJ,5.873323441,23556.14286,189,0.047619048,2.80952381,8384.38983
Dodge,Challenger,2014,75,4.8333,6,8,11/17/14,Elizabeth,NJ,8.787576675,27951.75,181,0.044198895,3.314917127,8432.11125
Jeep,Grand Cherokee,2008,72,5,1,1,4/11/15,Weehawken,NJ,4.914343357,17176.85714,36,0.027777778,2,8588.428571
Land Rover,Range Rover,2008,93,5,1,2,3/17/15,Hoboken,NJ,2.211595774,26439.5,61,0.032786885,3.049180328,8671.018817
Volkswagen,Passat,2014,65,5,6,6,11/11/14,Hoboken,NJ,2.587873459,18219.38636,187,0.032085561,2.085561497,8735.962179
Audi,S5,2010,179,5,6,7,5/7/14,Ridgefield Park,NJ,8.403561592,30374,375,0.018666667,3.341333333,9090.383081
Mercedes-Benz,E-Class,2007,139,5,1,4,8/14/14,Berkeley Heights,NJ,19.41134262,18565.125,276,0.014492754,2.014492754,9215.781475
Infiniti,JX,2013,159,5,2,4,10/20/14,Jersey City,NJ,0.417797565,28650.5,209,0.019138756,3.043062201,9415.022799
Nissan,Murano CrossCabriolet,2013,129,3,2,2,2/17/15,Upper Saddle River,NJ,22.48192787,27638,89,0.02247191,2.898876404,9534.03876
Mazda,MAZDA3,2012,25,5,2,2,4/15/15,Hillside,NJ,7.67601347,15421.15789,32,0.0625,1.5625,9869.541053
Honda,Accord,2012,50,5,1,1,4/19/15,Hoboken,NJ,2.600183249,18011.80952,28,0.035714286,1.785714286,10086.61333
Cadillac,ATS,2014,99,None,0,1,4/8/15,Upper Saddle River,NJ,22.43313026,26173.3125,39,0.025641026,2.538461538,10310.69886
Mazda,CX-5,2014,80,5,3,6,9/14/14,Jersey City,NJ,2.474985123,20334,245,0.024489796,1.959183673,10378.8125
Toyota,Camry,2012,60,5,1,1,4/10/15,Weehawken,NJ,4.204126835,16882,37,0.027027027,1.621621622,10410.56667
Mercedes-Benz,SLK-Class,2012,399,5,1,3,5/28/14,Edison,NJ,21.86827087,35747,354,0.008474576,3.381355932,10571.79449
Lexus,LS 460,2010,65,5,9,12,9/19/14,Jersey City,NJ,2.4120574,35209.25,240,0.05,3.25,10833.61538
