make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days_listed,avg_trips_taken_per_day,avg_rate_per_day,price_vs_rate_per_day
Mercedes-Benz,E-Class,2012,269.0,5,14,26,2013-07-23 23:38:40,Union,NJ,8.97252082825,35059.8125,683,0.0380673499268,10.2401171303,3423.77065163
Nissan,Sentra,2011,89.0,None,0,1,2014-07-06 21:24:50,Jersey City,NJ,2.06577539444,12290.0,335,0.00298507462687,0.265671641791,46260.1123596
Ford,Fusion,2014,70.0,5,12,12,2015-03-28 17:41:13,Fort Lee,NJ,9.30994033813,18323.75,71,0.169014084507,11.8309859155,1548.79315476
Ford,Escape,2011,55.0,5,1,2,2015-05-19 11:51:09,Weehawken,NJ,4.63544750214,14950.3333333,19,0.105263157895,5.78947368421,2582.33030303
Jeep,Wrangler,2014,99.0,5,1,3,2014-08-09 11:52:43,West New York,NJ,4.96189308167,24801.1428571,302,0.00993377483444,0.983443708609,25218.6705147
Porsche,Boxster,2013,300.0,None,0,0,2015-05-25 01:42:47,Hoboken,NJ,3.03926110268,39709.0,13,0.0,0.0,None
Hyundai,Genesis,2015,199.0,None,0,0,2015-03-31 12:33:49,Hoboken,NJ,2.43158221245,35140.3333333,68,0.0,0.0,None
Volkswagen,Jetta,2015,59.0,5,2,3,2014-10-26 11:19:17,Weehawken,NJ,4.91666173935,20348.71875,224,0.0133928571429,0.790178571429,25752.0508475
BMW,X1,2015,185.0,None,0,1,2015-04-14 22:55:37,Union City,NJ,3.39625453949,27125.3333333,53,0.0188679245283,3.49056603774,7771.04144144
Honda,Accord,2011,55.0,4.8125,16,22,2014-06-14 12:23:54,WNY,NJ,5.14497327805,16482.8095238,358,0.0614525139665,3.37988826816,4876.73207399
Mercedes-Benz,E-Class,2014,159.0,None,0,0,2015-06-06 12:26:18,union City,NJ,3.42066144943,45969.8,1,0.0,0.0,None
Honda,CR-V,2012,72.0,4.92,25,37,2014-07-27 08:53:05,Cliffside Park,NJ,8.08261394501,22200.6,315,0.11746031746,8.45714285714,2625.07094595
Honda,Pilot,2012,95.0,None,0,1,2014-10-25 13:35:35,Cliffside Park,NJ,8.49966812134,25984.9166667,225,0.00444444444444,0.422222222222,61543.2236842
Volkswagen,Passat,2003,45.0,5,6,13,2014-11-02 13:45:46,Cliffside Park,NJ,8.46834087372,4934.36363636,217,0.0599078341014,2.69585253456,1830.35369075
Mercedes-Benz,GLK-Class,2014,140.0,5,10,16,2014-03-10 10:37:58,West New York,NJ,4.94828653336,29116.0,454,0.0352422907489,4.93392070485,5901.18928571
BMW,3 Series,2009,80.0,4.6667,12,25,2014-01-15 13:31:39,WNY,NJ,5.09250020981,17599.6153846,508,0.0492125984252,3.93700787402,4470.30230769
Land Rover,Range Rover Sport,2010,155.0,5,1,1,2015-05-20 12:56:47,Weehawken,NJ,4.42687654495,37680.5,18,0.0555555555556,8.61111111111,4375.8
Dodge,Challenger,2014,99.0,5,3,5,2014-12-07 00:33:20,Elizabeth ,NJ,8.74371528625,28204.75,182,0.0274725274725,2.71978021978,10370.2313131
Audi,A4,2009,69.0,4.9667,30,53,2014-04-28 15:38:00,Edgewater,NJ,7.1070933342,17965.375,405,0.130864197531,9.02962962963,1989.60264561
