make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days_listed,avg_trips_taken_per_day,avg_rate_per_day,price_vs_rate_per_day
Lexus,IS 250,2006,75.0,5,1,3,2015-02-08 11:48:11,North Bergen,NJ,6.76573085785,13572.6666667,108,0.0277777777778,2.08333333333,6514.88
Mazda,CX-9,2014,85.0,5,4,4,2015-04-16 18:22:20,North Bergen,NJ,6.52785348892,24528.3333333,41,0.0975609756098,8.29268292683,2957.82843137
BMW,4 Series,2015,279.0,5,4,8,2014-11-21 20:31:44,Union City,NJ,4.37505245209,38328.5,187,0.0427807486631,11.935828877,3211.21393369
Mercedes-Benz,C-Class,2013,250.0,5,6,9,2014-09-12 14:08:36,West New York,NJ,5.27861881256,28034.1,257,0.0350194552529,8.75486381323,3202.1172
Ford,Transit Connect,2014,73.0,None,0,0,2015-04-28 15:14:54,kearny,NJ,3.99725341797,18364.0,29,0.0,0.0,None
Volkswagen,GTI,2013,100.0,None,0,0,2015-05-22 14:54:04,JERSEY CITY,NJ,0.866184532642,19623.5,5,0.0,0.0,None
Volkswagen,Passat,2013,100.0,None,0,0,2014-07-08 10:08:03,Jersey City,NJ,2.48036909103,17231.2962963,323,0.0,0.0,None
Toyota,4Runner,2005,75.0,None,0,0,2015-04-19 22:28:09,Jersey City,NJ,2.0349240303,12107.25,38,0.0,0.0,None
Nissan,Altima,2010,56.0,5,13,34,2014-07-08 20:43:22,hoboken,NJ,2.68655061722,13751.2857143,323,0.105263157895,5.89473684211,2332.80739796
Infiniti,QX60,2015,99.0,5,3,4,2015-04-12 15:19:22,Lyndhurst,NJ,6.04350233078,None,45,0.0888888888889,8.8,None
Nissan,Rogue,2011,70.0,5,1,5,2015-03-06 15:04:48,North bergen,NJ,6.20137166977,15589.8333333,82,0.0609756097561,4.26829268293,3652.4752381
Ford,Taurus,2003,32.0,4.64,25,42,2014-08-26 22:09:17,Weehawken,NJ,4.16061830521,4124.46153846,274,0.153284671533,4.90510948905,840.850045788
Ford,Focus,2006,40.0,4.875,16,34,2014-09-06 16:54:01,Weehawken,NJ,4.16230869293,5602.33333333,263,0.12927756654,5.1711026616,1083.39240196
Lexus,LS 600h L,2008,185.0,None,0,0,2015-02-10 13:54:48,Hoboken,NJ,2.64055132866,33149.0,106,0.0,0.0,None
Toyota,Camry,2012,60.0,5,1,1,2015-04-10 13:58:45,Weehawken,NJ,4.20412683487,16882.0,47,0.0212765957447,1.27659574468,13224.2333333
Scion,xB,2012,39.0,5,4,4,2013-05-18 01:43:16,Hoboken,NJ,2.69329977036,14261.25,739,0.00541271989175,0.211096075778,67558.1009615
Audi,A4,2009,60.0,None,0,0,2015-05-10 21:00:37,Jersey City,NJ,2.38942050934,18320.5,17,0.0,0.0,None
